source,product_id,title,url,price_azn,old_price_azn,discount_azn,discount_percent,brand,specs,availability,label,monthly_payment_azn,rating,review_count
kontakt.az,108510,Notbuk Lenovo IdeaPad Slim 3 15IRU8 (82X700D6RK),https://kontakt.az/notbuk-lenovo-ideapad-slim-3-15iru8-82x700d6rk,819.99,1349.99,530.0,,Lenovo,"Prosessor: Intel Core i3 1315U, 0.9 - 4.5 GHz",,,,,
kontakt.az,105896,Notbuk Apple MacBook Air 13 M4 Midnight MW123RU/A,https://kontakt.az/notbuk-apple-macbook-air-13-m4-midnight-mw123ru-a,2499.99,2999.99,500.0,,Apple,"Prosessor: Apple M4, 4.41 GHz",,,,,
kontakt.az,117290,Notbuk Lenovo LOQ 15ARP9 (83JC00LBRK),https://kontakt.az/notbuk-lenovo-loq-15arp9-83jc00lbrk,1799.99,2499.99,700.0,,Lenovo,"Prosessor: AMD Ryzen 5 7235HS, 3.2 - 4.2 GHz",,,,,
kontakt.az,112295,Notbuk Lenovo Legion 5 16IRX9 (83DG00NWRK),https://kontakt.az/notbuk-lenovo-legion-5-16irx9-83dg00nwrk,2899.99,3899.99,1000.0,,Lenovo,"Prosessor: Intel Core i7 14700HX, 2.1 - 5.5 GHz",,,,,
kontakt.az,118736,Notbuk Acer Nitro NL16-71G (NH.DAAER.001),https://kontakt.az/notbuk-acer-nitro-nl16-71g-nh-daaer-001,1549.99,2199.99,650.0,,Acer,"Prosessor: Intel Core i5 13420H, 2.1 - 4.6 GHz",,,,,
kontakt.az,119461,Notbuk Lenovo IdeaPad Slim 3 15AMN8 (82XQ00JPRK),https://kontakt.az/notbuk-lenovo-ideapad-slim-3-15amn8-82xq00jprk,989.99,1499.99,510.0,,Lenovo,"Prosessor: AMD Ryzen 5 7520U, 2.8 - 4.3 GHz",,,,,
kontakt.az,106887,Notbuk Acer Nitro 5 ANV15-51 (NH.QNCER.002),https://kontakt.az/notbuk-acer-nitro-5-anv15-51-nh-qncer-002,1799.99,2599.99,800.0,,Acer,"Prosessor: Intel Core i5 13620H, 1.8 - 4.9 GHz",,,,,
kontakt.az,111130,Notbuk Lenovo LOQ 15IRX10 (83JE002BRK),https://kontakt.az/notbuk-lenovo-loq-15irx10-83je002brk,2349.99,3099.99,750.0,,Lenovo,"Prosessor: Intel Core i5 13450HX, 1.8 - 4.6 GHz",,,,,
kontakt.az,108253,Notbuk Asus GU605CX-QR077W ROG Zephyrus G16 OLED 90NR0M66-M00420,https://kontakt.az/notbuk-asus-gu605cx-qr077w-rog-zephyrus-g16-oled-90nr0m66-m00420,9649.99,12699.99,3050.0,,Asus,"Prosessor: Intel Core Ultra 9 285H, 2.9 - 5.4 GHz",,,,,
kontakt.az,109258,Notbuk Apple MacBook Pro M4 Max Silver MX2G3RU/A,https://kontakt.az/notbuk-apple-macbook-pro-m4-max-silver-mx2g3ru-a,7839.99,8839.99,1000.0,,Apple,"Prosessor: Apple M4 Max, 4.51 GHz",,,,,
