product_id,title,url,price_azn,monthly_payment_azn,specs
9685,ASUS TUF A15 FA506NFR-HN021 (90NR0JU7-M00150) Gaming Laptop,https://compstore.az/asus-tuf-a15-fa506nfr-hn021-90nr0ju7-m00150-gaming-laptop.html,1399.0,89.0,AMD® Ryzen™ 7 7435HS | DDR5 16 GB 4800 MHz | NVIDIA GeForce® RTX2050 4 GB | SSD 512GB NVMe | FHD IPS 15.6-inch 144 Hz | Windows 11
9684,ASUS TUF A18 FA808UP-S8060 (90NR0NL1-M00390) Gaming Laptop,https://compstore.az/asus-tuf-a18-fa808up-s8060-90nr0nl1-m00390-gaming-laptop.html,2998.0,191.0,AMD® Ryzen™ 7 260H | DDR5 16 GB 5600 MHz | NVIDIA GeForce® RTX5070 8 GB | SSD 1 TB NVMe | FHD IPS 18-inch 144 Hz | Windows 11
9675,ASUS TUF A14 FA401UU-RG013 (90NR0JD1-M001E0) Gaming Laptop,https://compstore.az/asus-tuf-a14-fa401uu-rg013-90nr0jd1-m001e0-gaming-laptop.html,2298.0,146.0,AMD® Ryzen™ 7 8845HS | LPDDR5X 16 GB 7500 MHz | NVIDIA GeForce® RTX4050 6 GB | SSD 512GB NVMe | WQXGA IPS 14-inch 165 Hz | Windows 11
9674,ASUS TUF A15 FA507NVR-LP170 (90NR0JK5-M00A50) Gaming Laptop,https://compstore.az/asus-tuf-a15-fa507nvr-lp170-90nr0jk5-m00a50-gaming-laptop.html,2198.0,140.0,AMD® Ryzen™ 7 7435HS | DDR5 16 GB 4800 MHz | NVIDIA GeForce® RTX4060 8 GB | SSD 1 TB NVMe | FHD IPS 15.6-inch 144 Hz | Windows 11
9651,HP Victus 15-fb2082wm Gaming Laptop (A14MNUA),https://compstore.az/hp-victus-15-fb2082wm-gaming-laptop-a14mnua.html,1575.0,101.0,AMD® Ryzen™ 5 8645HS | DDR5 16 GB 4800 MHz | SSD 512 GB NVMe | NVIDIA® GeForce RTX 4050 6 GB | FHD IPS 15.6-inch 144 Hz | Windows 11
9614,HP ENVY x360 14-fa0013dx (9S1R3UA),https://compstore.az/hp-envy-x360-14-fa0013dx-9s1r3ua.html,1225.0,78.0,AMD® Ryzen 5 8640HS | LPDDR5 16 GB 6400 MHz | AMD® Radeon Graphics | 512 GB PCIe® NVMe™ M.2 SSD | IPS WUXGA 14-inch TouchScreen | Windows 11
9613,ASUS Vivobook 16X K3605VU-WS96 (90NB11Z2-M008Y0),https://compstore.az/asus-vivobook-16x-k3605vu-ws96-90nb11z2-m008y0.html,2100.0,134.0,Intel Core i9-13900H | DDR4 16 GB 3200 MHz | NVIDIA Geforce RTX 4050 6GB | 1 TB PCIe® NVMe™ M.2 SSD | WUXGA IPS 16-inch 120Hz | Windows 11
9609,Lenovo LOQ 15IRX9 (88DV00NJRK) Gaming Laptop,https://compstore.az/lenvovo-loq-15irx9-88dv00njrk-gaming-laptop.html,2099.0,134.0,Intel® Core™ i7-13650HX | DDR5 24 GB 4800 MHz | NVIDIA GeForce® RTX 4050 6 GB | SSD 1 TB NVMe | FHD IPS 15.6-inch 144 Hz | Windows 11
9600,ASUS ROG Strix G16 G614JU-N3156 (90NR0CC1-M012F0) Gaming Laptop,https://compstore.az/asus-rog-strix-g16-g614ju-n3156-90nr0cc1-m012f0-gaming-laptop.html,2298.0,146.0,Intel® Core™ i7-13650HX | DDR5 16 GB 4800 MHz | NVIDIA GeForce® RTX4050 6 GB | SSD 512 GB NVMe | WUXGA IPS 16.0-inch 165 Hz | FreeDos
9586,ASUS TUF F15 FX507VI-LP104 (90NR0FH7-M005P0) Gaming Laptop,https://compstore.az/asus-tuf-f15-fx507vi-lp104-90nr0fh7-m005p0-gaming-laptop.html,2998.0,191.0,Intel® Core™ i7-13620H | DDR5 16 GB 4800 MHz | NVIDIA GeForce® RTX4070 8 GB | SSD 1 TB NVMe | FHD IPS 15.6-inch 144 Hz | Windows 11
9585,ASUS TUF F15 FX507VI-LP141 (90NR0FH7-M00B90) Gaming Laptop,https://compstore.az/asus-tuf-f15-fx507vi-lp141-90nr0fh7-m00b90-gaming-laptop.html,3399.0,216.0,Intel® Core™ i7-13620H | DDR5 32 GB 4800 MHz | NVIDIA GeForce® RTX4070 8 GB | SSD 1 TB NVMe | FHD IPS 15.6-inch 144 Hz | Windows 11
9582,ASUS ZenBook Duo OLED UX8406CA-QL080W (90NB14X1-M00340)),https://compstore.az/asus-zenbook-duo-oled-ux8406ca-ql080w-90nb14x1-m00340.html,3798.0,242.0,Intel® Core™ Ultra 7 255H | LPDDR5X 16GB 4267 MHz | Intel® Arc™ Graphics | SSD PCIe  1 TB | FHD 14-inch OLED | Windows 11
9560,ASUS TUF FX707VU4-HX079 (90NR0CS6-M004H0) Gaming Laptop,https://compstore.az/asus-tuf-fx707vu4-hx079-90nr0cs6-m004h0-gaming-laptop.html,2494.0,159.0,Intel® Core™ i7-13700H | DDR4 16 GB 3200 MHz | NVIDIA GeForce® RTX4050 6 GB | SSD 512 GB NVMe | FHD IPS 17.3-inch 144 Hz | Windows 11
9559,ASUS Vivobook Pro M6400RC-KM010W (90NB0YE2-M00180),https://compstore.az/asus-vivobook-pro-m6400rc-km010w-90nb0ye2-m00180.html,1575.0,101.0,AMD Ryzen™ 7 6800H | LPDDR5 16 GB 3200 MHz | GeForce® RTX™ 3050 4GB | SSD PCIe  512GB | 2.8K 14-inch OLED |  Windows 11
9558,ASUS Vivobook S OLED S5507QA-MA006W (90NB14Q2-M005E0),https://compstore.az/asus-vivobook-s-oled-s5507qa-ma006w-90nb14q2-m005e0.html,2666.0,170.0,Snapdragon X Plus X1E 78 100 | LPDDR5X 16 GB 3200 MHz | Adreno IGPU Graphics | SSD PCIe  1 TB | 2.8K 15.6-inch OLED |  Windows 11
9557,ASUS Vivobook S 15 OLED S5507QA-MA001W (90NB14Q2-M005H0),https://compstore.az/asus-vivobook-s-15-oled-s5507qa-ma001w-90nb14q2-m005h0.html,2800.0,178.0,Snapdragon X Elite X1E 78 100 | LPDDR5X 32 GB 3200 MHz | Intel® Iris Xᵉ Graphics | SSD PCIe  1 TB | 2.8K 15.6-inch OLED |  Windows 11
9556,ASUS Zenbook 14 OLED UX3405-QD379W (90NB11R1-M00ZU0),https://compstore.az/asus-zenbook-14-oled-ux3405-qd379w-90nb11r1-m00zu0.html,2450.0,156.0,Intel® Core™ Ultra 7 155H | LPDDR5 16 GB 4267 MHz | Intel® Arc™ Graphics | SSD PCIe  1 TB | WUXGA 14-inch OLED |  Windows 11
9554,ASUS ROG Strix G16 G614JU-N3528 (90NR0CC1-M01530) Gaming Laptop,https://compstore.az/asus-rog-strix-g16-g614ju-n3528-90nr0cc1-m01530-gaming-laptop.html,2023.0,129.0,Intel® Core™ i5-13450HX | DDR5 16 GB 4800 MHz | NVIDIA GeForce® RTX4050 6 GB | SSD 512GB NVMe | WUXGA IPS 16-inch 165 Hz | Windows 11
9547,Lenovo LOQ 15IRX9 (83DV009MUS) Gaming Laptop,https://compstore.az/lenovo-loq-15irx9-gaming-laptop-83dv009mus.html,1750.0,112.0,Intel® Core™ i5-13450HX | DDR5 16 GB 4800 MHz | NVIDIA GeForce® RTX 4060 8 GB | SSD 512 GB NVMe | FHD IPS 15.6-inch 144 Hz | Windows 11
