product_code,title,url,price_azn,old_price_azn,discount_azn,availability,labels,monthly_payment_azn
YBEIS0B,Asus ExpertBook P1 P1503CVA-S72252 (90NX0881-M02W50),https://irshad.az/az/mehsullar/asus-expertbook-p1-p1503cva-s72252-90nx0881-m02w50-2,1369.99,1869.99,500.0,,Faizsiz təklif Yalnız online sifariş -500 AZN,76.11
TMMHIVK,Asus VivoBook 18 M1807GA-S8007 (90NB17Y1-M000K0),https://irshad.az/az/mehsullar/asus-vivobook-18-m1807ga-s8007-90nb17y1-m000k0,2229.99,2599.99,370.0,,Faizsiz təklif Yalnız online sifariş -370 AZN,123.89
MMUQM6V,Asus VivoBook 15 X1504VA-BQ140 (90NB10J1-M04U10),https://irshad.az/az/mehsullar/asus-vivobook-15-x1504va-bq140-90nb10j1-m04u10,1619.99,1989.99,370.0,,Faizsiz təklif Yalnız online sifariş -370 AZN,90.0
YQR7CB2,Asus ROG Strix G16 G615JPR-S5101 (90NR0L91-M00480),https://irshad.az/az/mehsullar/asus-rog-strix-g16-g615jpr-s5101-90nr0l91-m00480-2,4499.99,5499.99,1000.0,,Faizsiz təklif Yalnız online sifariş -1000 AZN,250.0
ZQWV8Z9,Asus ROG Strix G18 G814PM-S9027 (90NR0L28-M001N0),https://irshad.az/az/mehsullar/asus-rog-strix-g18-g814pm-s9027-90nr0l28-m001n0-2,3499.99,4999.99,1500.0,,Faizsiz təklif Yalnız online sifariş -1500 AZN,194.44
MSFVFXQ,Asus TUF Gaming F16 FX608JHR-RV035 (90NR0NA1-M003C0),https://irshad.az/az/mehsullar/asus-tuf-gaming-f16-fx608jhr-rv035-90nr0na1-m003c0,2949.99,3629.99,680.0,,Faizsiz təklif Yalnız online sifariş -680 AZN,163.89
M2HKJJU,Lenovo V15 G5 IRL (83GW009NGX),https://irshad.az/az/mehsullar/lenovo-v15-g5-irl-83gw009ngx,1149.99,1399.99,250.0,Stokda var,Stokda var Faizsiz təklif -250 AZN,63.89
BABEJUY,Lenovo IP Slim 3 15IAN8 (82XB00HBRK),https://irshad.az/az/mehsullar/lenovo-ip-slim-3-15ian8-82xb00hbrk,589.99,659.99,70.0,Stokda var,Stokda var Faizsiz təklif -70 AZN,32.78
NIDEASF,ASUS VivoBook E1504GA-WS35 (90NB0ZT1-M02580),https://irshad.az/az/mehsullar/asus-vivobook-e1504ga-ws35-90nb0zt1-m02580-2,769.99,999.99,230.0,Stokda var,Stokda var Faizsiz təklif -230 AZN,42.78
0QAUDUC,Asus VivoBook F1504VAP-WH56 (90NB13Y2-M01D40),https://irshad.az/az/mehsullar/asus-vivobook-f1504vap-wh56-90nb13y2-m01d40-2,1149.99,1399.99,250.0,Stokda var,Stokda var Faizsiz təklif -250 AZN,63.89
ZDLEUGL,ASUS VivoBook E1504GA-WS35 (90NB0ZT1-M01390),https://irshad.az/az/mehsullar/asus-vivobook-e1504ga-ws35-90nb0zt1-m01390-2,779.99,999.99,220.0,Stokda var,Stokda var Faizsiz təklif -220 AZN,43.33
DWXSVAP,Lenovo ThinkBook L14 21C2-S882W00 (21C2S82W00),https://irshad.az/az/mehsullar/lenovo-thinkbook-l14-21c2-s882w00-21c2s82w00,1419.99,1649.99,230.0,,Stokda var - Məhdud sayda Faizsiz təklif -230 AZN,78.89
OYYNIHC,HONOR Magic Book X16 Plus 2025 32+1TB WIN11 Space Gray (BRB-X),https://irshad.az/az/mehsullar/honor-magic-book-x16-plus-2025-32-1tb-win11-space-gray-brb-x,1899.99,2399.99,500.0,Stokda var,Stokda var Faizsiz təklif -500 AZN,105.56
JHLSUSL,HONOR Magicbook X16 Plus 2025 16+1TB WIN11 Space Gray (BRB-X),https://irshad.az/az/mehsullar/honor-magicbook-x16-plus-2025-16-1tb-win11-space-gray-brb-x,1749.99,2199.99,450.0,Stokda var,Stokda var Faizsiz təklif -450 AZN,97.22
