product_id,title,url,price_azn,old_price_azn,discount_azn,labels,specs
61090,Asus  Vivobook S3607VA-RP011 (90NB1671-M004V0),https://techbar.az/asus-vivobook-s3607va-rp011-90nb1671-m004v0,1842.0,2211.0,369.0,Satış,"16″ IPS FHD 1200p 144 Hz | Intel Core i7-13620H (10 nüvə, 4.9 GHz) | 16 GB DDR5 RAM, 1 TB SSD | Intel Graphics | Wi-Fi 6 (802.11ax),..."
60419,NB TP ThinkPad X9-15 G1 U7 32G 1T 11P (21Q6006AFW),https://techbar.az/nb-tp-thinkpad-x9-15-g1-u7-32g-1t-11p-21q6006afw,4681.0,5618.0,937.0,Satış,U7 | Intel Arc | 32GB LPDDR5X | 1TB SSD | 15.6″ 2.8K OLED Touch | 120 Hz  | 80 Wh | 1.4 kq | Boz | 3 il...
60404,Noutbuk Lenovo ThinkPad X9-14 G1 (21QA0086FW),https://techbar.az/noutbuk-lenovo-thinkpad-x9-14-g1-21qa0086fw,4662.0,5595.0,933.0,Satış,U7 | Intel Arc | 32GB LPDDR5X | 1TB SSD | 14″ 2.8K OLED Touch | 120 Hz | Win 11 Pro | 55 Wh | 1.27 kq |...
60216,ThinkPad X1 Carbon G13 (21NS004WFW),https://techbar.az/thinkpad-x1-carbon-g13-21ns004wfw,5478.0,6574.0,1096.0,Satış,14″ WUXGA IPS 500 nit | Intel Core Ultra 7 258V | 32 GB RAM | 512 GB SSD | Wi-Fi 7 | Thunderbolt 4 | 8 MP IR...
60209,Noutbuk Lenovo ThinkPad X1 Carbon G13 (21NX00A7FW),https://techbar.az/noutbuk-lenovo-thinkpad-x1-carbon-g13-21nx00a7fw,5066.0,6080.0,1014.0,Satış,"14″ WUXGA IPS (1920×1200) Antiglare | Intel Core Ultra 7 255U (12 nüvə, 5.2 GHz) | Intel Graphics | 32 GB LPDDR5X 8400 MHz | 512 GB SSD M.2..."
60198,Noutbuk Lenovo ThinkPad X9-15 Gen 1 (21Q6001PFW),https://techbar.az/noutbuk-lenovo-thinkpad-x9-15-gen-1-21q6001pfw,4776.0,5732.0,956.0,Satış,"15.3″ 2.8K OLED 120 Hz (100% DCI-P3) | Intel Core Ultra 7 258V (8 nüvə, 4.8 GHz) | Intel Arc Graphics 140V | 32 GB DDR5X | 1 TB..."
60188,Noutbuk Lenovo ThinkPad T14s 2-in-1 G1 (21R3005XFW),https://techbar.az/noutbuk-lenovo-thinkpad-t14s-2-in-1-g1-21r3005xfw,4626.0,5552.0,926.0,Satış,"14″ WUXGA IPS Touch (1920×1200) | Intel Core Ultra 7 255U (12 nüvə, 5.2 GHz) | Intel Graphics | 32 GB LPDDR5x | 1 TB SSD | 500 nits..."
60182,Noutbuk Lenovo ThinkPad T14s G6 (21QX001DRT),https://techbar.az/noutbuk-lenovo-thinkpad-t14s-g6-21qx001drt,4458.0,5350.0,892.0,Satış,"Lenovo 14″ WUXGA IPS (1920×1200) | Intel Core Ultra 7 258V (8 nüvə, 4.8 GHz) | Intel Arc Graphics 140V | 32 GB LPDDR5x RAM | 1 TB SSD..."
60176,Envy x360 / HP OmniBook X Flip x360 14″ Intel (BZ2X0EA),https://techbar.az/envy-x360-hp-omnibook-x-flip-x360-14-intel-bz2x0ea,2828.0,3394.0,566.0,Satış,"14″ WUXGA IPS Touch | Intel Core Ultra 7-256V (8 nüvə, 4.8 GHz) | Intel Arc Graphics | 16 GB LPDDR5X | 1 TB SSD | Wi-Fi + Bluetooth..."
60166,Noutbuk Lenovo ThinkBook 14 2-in-1 G5 IAU (21SQ002QFW),https://techbar.az/noutbuk-lenovo-thinkbook-14-2-in-1-g5-iau-21sq002qfw,2716.0,3260.0,544.0,Satış,"Lenovo | 14″ WUXGA Touch IPS (1920×1200) | Intel Core Ultra 7 255U (12 nüvə, 5.2 GHz) | Intel Arc Graphics | 16 GB DDR5 RAM | 1 TB..."
